Load_name,Bus_name,Phase,P,Q
5YB97_417831583-L_A,1032074894,1,19.9,4.1
RW42Q_417794701-L_B,1031726547,2,10,2
RW43Q_417796529-L_C,1031799460,3,4,0.8
RW50Q_417751922-L_B,1031564498,2,12.8,-1
RW50Q_417751922-L_C,1031564498,3,7.2,10.6
RW57Q_417830220-L_C,1032005239,3,10,2
RW56Q_417889267-L_C,1032182398,3,19.9,4.1
RW64Q_417751483-L_C,1031561428,3,10,2
RW68Q_417796558-L_B,1031799661,2,10,2
RW69Q_417753456-L_B,1031631058,2,19.9,4.1
RW71Q_417793434-L_B,1031683324,2,19.9,4.1
RW76Q_417753094-L_B,1031602762,2,15,3
RW77Q_417698162-L_B,1031471587,2,15,3
RW83Q_417753920-L_B,1031651482,2,15,3
RW86Q_417793741-L_B,1031706946,2,19.9,4.1
RW88Q_417750652-L_B,1031512668,2,10,2
RW90Q_417751469-L_B,1031561330,2,19.9,4.1
RV07Q_417795029-L_B,1031746019,2,10,2
BCQ40_417887935-L_B,1032117250,2,19.9,9.7
RW95L_417830806-L_B,1032052276,2,10,2
RV05L_417697613-L_B,1031459151,2,10,2
RV03L_417796417-L_B,1031798671,2,19.9,4.1
RV02L_417696628-L_B,1031323438,2,15,3
RV00L_417750387-L_B,1031510813,2,10,2
RU98L_417751490-L_B,1031561474,2,29.9,6.1
RU96L_417796012-L_B,1031782956,2,15,3
RU95L_417753622-L_B,1031632225,2,15,3
RV08L_417752423-L_B,1031576593,2,19.9,4.1
RV12L_417752125-L_B,1031574511,2,19.9,4.1
RV14L_417752326-L_B,1031575917,2,19.9,4.1
RW66Q_417754035-L_C,1031652292,3,10,2
RW97Q_417752982-L_B,1031601980,2,10,2
RW99Q_565854817-L_B,1034021403,2,10,4.8
RX00Q_417697084-L_C,1031429686,3,10,2
RX02Q_417697054-L_B,1031429477,2,10,2
RX05Q_417750906-L_C,1031523039,3,15,3
RV97Q_417753562-L_C,1031631805,3,19.9,4.1
RW03Q_417697969-L_C,1031461648,3,10,2
RW04Q_417796897-L_C,1031836383,3,19.9,4.1
RW06Q_417752110-L_C,1031574402,3,15,3
RW08Q_417750578-L_C,1031512152,3,15,3
RW11Q_417754277-L_C,1031653981,3,15,3
RW13Q_417796857-L_C,1031836103,3,19.9,4.1
RW16Q_417795471-L_C,1031749112,3,15,3
RW19Q_417793815-L_C,1031707461,3,19.9,4.1
RW23Q_417750847-L_C,1031522623,3,15,3
RW25Q_417697366-L_C,1031431663,3,19.9,4.1
RW28Q_417796123-L_C,1031783731,3,10,2
RW30Q_417754632-L_C,1031682232,3,15,3
RW32Q_417795165-L_C,1031746967,3,19.9,4.1
RX08Q_417751793-L_C,1031563599,3,10,2
RV95Q_566203394-L_A,1031322850,1,10,4.8
RV91Q_417890407-L_A,1032271960,1,10,4.8
RV91Q_417890407-L_B,1032271960,2,10,4.8
RV91Q_417890407-L_C,1032271960,3,10,4.8
RV25Q_417698268-L_B,1031472324,2,4,1.9
RV42Q_417796105-L_A,1031783605,1,19.9,9.7
RV42Q_417796105-L_B,1031783605,2,19.9,9.7
RV42Q_417796105-L_C,1031783605,3,19.9,9.7
RV44Q_417698449-L_A,1031473596,1,10,4.8
RV44Q_417698449-L_B,1031473596,2,10,4.8
RV44Q_417698449-L_C,1031473596,3,10,4.8
RV45Q_417751114-L_A,1031524492,1,6,2.9
RV45Q_417751114-L_B,1031524492,2,6,2.9
RV45Q_417751114-L_C,1031524492,3,6,2.9
RV47Q_417795555-L_B,1031779759,2,6.4,-0.5
RV47Q_417795555-L_C,1031779759,3,3.6,5.3
1N5A44_574915098-L_A,1478694813,1,39.9,19.3
1N5A44_574915098-L_B,1478694813,2,39.9,19.3
1N5A44_574915098-L_C,1478694813,3,39.9,19.3
1N5A43_574915100-L_A,1478694836,1,99.7,20.3
1N5A43_574915100-L_B,1478694836,2,99.7,20.3
1N5A43_574915100-L_C,1478694836,3,99.7,20.3
SY17Q_417888891-L_A,1032179767,1,99.7,48.3
SY17Q_417888891-L_B,1032179767,2,99.7,48.3
SY17Q_417888891-L_C,1032179767,3,99.7,48.3
SY21Q_417890731-L_A,1031249682,1,66.5,32.2
SY21Q_417890731-L_B,1031249682,2,66.5,32.2
SY21Q_417890731-L_C,1031249682,3,66.5,32.2
SY20Q_417831640-L_A,1032075293,1,99.7,48.3
SY20Q_417831640-L_B,1032075293,2,99.7,48.3
SY20Q_417831640-L_C,1032075293,3,99.7,48.3
RV48Q_417751311-L_A,1031525873,1,10,4.8
RV48Q_417751311-L_B,1031525873,2,10,4.8
RV48Q_417751311-L_C,1031525873,3,10,4.8
RV49Q_417751876-L_A,1031564179,1,6,2.9
RV49Q_417751876-L_B,1031564179,2,6,2.9
RV49Q_417751876-L_C,1031564179,3,6,2.9
RV51Q_417751004-L_B,1031523725,2,12.8,-0.9
RV51Q_417751004-L_C,1031523725,3,7.2,10.6
RV43Q_417697048-L_A,1031429435,1,19.9,9.7
RV43Q_417697048-L_B,1031429435,2,19.9,9.7
RV43Q_417697048-L_C,1031429435,3,19.9,9.7
RV40L_417753887-L_A,1031651256,1,6,2.9
RV40L_417753887-L_B,1031651256,2,6,2.9
RV40L_417753887-L_C,1031651256,3,6,2.9
AHC82_417754668-L_A,1031249064,1,10,2
PF43L_417754597-L_A,1031681988,1,5.4,7.9
PF43L_417754597-L_C,1031681988,3,9.6,-0.7
PF38L_417751398-L_C,1031560830,3,19.9,4.1
9CQ83_417698748-L_B,1031510041,2,15,3
PF14L_417796740-L_C,1031800934,3,10,2
PF15L_417751759-L_C,1031563357,3,10,2
PF18L_417754183-L_C,1031653327,3,10,2
PF21L_417698560-L_C,1031474370,3,10,2
PF23L_417698459-L_C,1031473666,3,10,2
PF24L_417794438-L_C,1031724702,3,10,2
PF25L_417752974-L_C,1031601924,3,10,2
PF31L_417794675-L_C,1031726361,3,10,2
PF33L_417751459-L_C,1031561257,3,19.9,9.7
PF34L_417752324-L_C,1031575900,3,10,4.8
PF36L_417794637-L_C,1031726097,3,4,1.9
PG97L_417793830-L_B,1031707569,2,15,3
PF02L_417794900-L_B,1031727939,2,10,2
PF03L_417794574-L_B,1031725654,2,15,3
PF08L_417752811-L_B,1031600779,2,19.9,4.1
PG92L_417752886-L_B,1031601308,2,5.6,-1.9
PG92L_417752886-L_C,1031601308,3,4.4,3.9
PG90L_417754323-L_C,1031654303,3,10,2
PG88L_417698442-L_C,1031473545,3,10,2
71L34_417890415-L_A,1032272019,1,39.9,8.1
9DR08_417793926-L_A,1031708240,1,19.9,9.7
12A308_417829063-L_A,1031924140,1,4,1.9
12WT07_417796007-L_A,1031782924,1,6,2.9
12WT07_417796007-L_B,1031782924,2,6,2.9
12WT07_417796007-L_C,1031782924,3,6,2.9
BBY01_417697813-L_A,1031460551,1,10,4.8
9DR11_417796362-L_A,1031798286,1,6.4,-0.5
9DR11_417796362-L_B,1031798286,2,3.6,5.3
PG74L_417795017-L_A,1031745936,1,6,1.2
PF55L_417751937-L_A,1031564607,1,6.4,-0.5
PF55L_417751937-L_B,1031564607,2,3.6,5.3
PF57L_417698571-L_A,1031249055,1,2.2,-0.8
PF57L_417698571-L_B,1031249055,2,1.8,1.6
PF61L_417793471-L_A,1031683581,1,15,3
PF63L_417697677-L_A,1031459602,1,10,2
PF65L_417698282-L_A,1031472426,1,10,4.8
8DE80_417795053-L_A,1031746187,1,10,2
1BRD50_417935873-L_A,1032414173,1,39.9,8.1
1BRD52_417935905-L_A,1032414392,1,39.9,8.1
1BRD53_417935862-L_A,1032414096,1,39.9,8.1
1BRD54_417935817-L_A,1032413779,1,39.9,8.1
RK068_417794156-L_A,1031709846,1,15,3
PF80L_417697508-L_A,1031458420,1,6,1.2
PF83L_417698590-L_A,1031474581,1,10,2
PF84L_417751146-L_A,1031524719,1,2.5,-0.2
PF84L_417751146-L_B,1031524719,2,1.4,2.1
PF85L_417696961-L_A,1031428826,1,6.4,-0.5
PF85L_417696961-L_B,1031428826,2,3.6,5.3
PF86L_417795360-L_A,1031748336,1,6,1.2
PF88L_417795127-L_A,1031746704,1,15,3
PF90L_417796164-L_A,1031796900,1,15,3
PF92L_417698422-L_A,1031473404,1,15,3
PF95L_417795712-L_A,1031780856,1,19.9,4.1
PL00L_417753294-L_A,1031629924,1,10,2
PL03L_417795513-L_A,1031749408,1,15,3
PL07L_417697269-L_A,1031249070,1,10,2
PL09L_568873437-L_A,1034158210,1,10,4.8
PL10L_417795413-L_A,1031748705,1,10,2
7RC57_417793737-L_B,1031706915,2,10,2
BB299_417888624-L_A,1032147840,1,19.9,9.7
BBL23_417829865-L_A,1031968397,1,39.9,19.3
BBL23_417829865-L_B,1031968397,2,39.9,19.3
BBL23_417829865-L_C,1031968397,3,39.9,19.3
BAT01_417829700-L_A,1031967247,1,10,4.8
BAT01_417829700-L_B,1031967247,2,10,4.8
BAT01_417829700-L_C,1031967247,3,10,4.8
BAT00_417890596-L_A,1032273285,1,19.9,9.7
AFB85_417796598-L_A,1031799942,1,39.9,19.3
8GG57_417794024-L_A,1031708927,1,10,4.8
8GG57_417794024-L_B,1031708927,2,10,4.8
8GG57_417794024-L_C,1031708927,3,10,4.8
BBZ71_417753514-L_B,1031631467,2,39.9,19.3
BBZ72_417793899-L_A,1031708047,1,19.9,9.5
BBZ72_417793899-L_B,1031708047,2,20,9.7
BBZ72_417793899-L_C,1031708047,3,19.9,9.7
1D0W32_460754845-L_A,1176521761,1,19.9,9.7
1D0W32_460754845-L_B,1176521761,2,19.9,9.7
1D0W32_460754845-L_C,1176521761,3,19.9,9.7
1H2P07_628512801-L_A,1541395753,1,19.9,9.7
1H2P07_628512801-L_B,1541395753,2,19.9,9.7
1H2P07_628512801-L_C,1541395753,3,19.9,9.7
134H67_417888274-L_A,1032145389,1,39.9,19.3
134H67_417888274-L_B,1032145389,2,39.9,19.3
134H67_417888274-L_C,1032145389,3,39.9,19.3
134J58_417890891-L_A,1032309704,1,10,4.8
1EPC86_458569603-L_A,1171803237,1,39.9,19.3
1EPC86_458569603-L_B,1171803237,2,39.9,19.3
1EPC86_458569603-L_C,1171803237,3,39.9,19.3
96F55_417831079-L_A,1032054189,1,39.9,19.3
96F55_417831079-L_B,1032054189,2,39.9,19.3
96F55_417831079-L_C,1032054189,3,39.9,19.3
8ER90_417829882-L_A,1032002868,1,19.9,9.7
8ER90_417829882-L_B,1032002868,2,19.9,9.7
8ER90_417829882-L_C,1032002868,3,19.9,9.7
AHA91Q_417751645-L_A,1031562563,1,15,3
AHA96_417698832-L_A,1031510626,1,19.9,4.1
AHB03Q_417750537-L_C,1031511863,3,19.9,4.1
AHB05Q_417698805-L_A,1031510435,1,10,2
AHB13Q_417794119-L_C,1031709591,3,29.9,6.1
AHB16_417753831-L_C,1031650862,3,19.9,4.1
AHB07Q_417752017-L_C,1031573756,3,15,3
AHB08Q_417752195-L_C,1031575000,3,10,2
AHB21_417795919-L_C,1031782308,3,15,7.2
AHB25_417752335-L_C,1031575980,3,10,2
AHB28_417753266-L_C,1031629733,3,15,3
AHB30Q_417698138-L_C,1031471419,3,10,2
AHB32_417794509-L_C,1031725204,3,10,2
AHB33_417697809-L_C,1031460528,3,10,2
AHB34_417793508-L_C,1031683844,3,6,1.2
AHB19Q_417794181-L_A,1031710025,1,15,3
AHB46_417889135-L_C,1032181474,3,39.9,8.1
AHB43_417889215-L_A,1032182030,1,29.9,6.1
AHB40_417889995-L_A,1032269081,1,66.6,13.5
AHB37_417829854-L_A,1031968325,1,39.9,8.1
AHB02Q_417793398-L_A,1031683074,1,6,2.9
8DJ39_417794779-L_C,1031727094,3,19.9,4.1
B9D88_417887865-L_C,1032116760,3,29.9,6.1
B9D94_417888731-L_C,1032148584,3,29.9,6.1
AHC27_417891154-L_C,1032311541,3,15,3
AHC25_417830634-L_C,1032051076,3,19.9,4.1
AHC20_417831271-L_C,1032072711,3,19.9,4.1
1GAN04_417890047-L_C,1032269444,3,29.9,6.1
RN443_417887920-L_C,1032117145,3,19.9,4.1
5SF67_417888032-L_C,1032117929,3,19.9,4.1
9CR80_417793448-L_A,1031683424,1,10,4.8
9CR80_417793448-L_B,1031683424,2,10,4.8
9CR80_417793448-L_C,1031683424,3,10,4.8
AFM81Q_417751138-L_B,1031524658,2,10,2
AFL50Q_417752083-L_A,1031574216,1,29.9,14.5
AFL52Q_417829846-L_A,1031968269,1,10,4.8
AFL52Q_417829846-L_B,1031968269,2,10,4.8
AFL52Q_417829846-L_C,1031968269,3,10,4.8
AKZ49_417796363-L_C,1031798295,3,9.6,2
AKZ47_417796247-L_C,1031797481,3,9.6,2
133C90_417796635-L_C,1031800199,3,28.9,5.9
AKZ43_417795355-L_C,1031748301,3,9.6,2
7EP30_417753649-L_A,1031632414,1,5.8,2.8
7EP30_417753649-L_B,1031632414,2,5.8,2.8
7EP30_417753649-L_C,1031632414,3,5.8,2.8
5AM26_417751423-L_A,1031561007,1,9.6,4.7
5AM26_417751423-L_B,1031561007,2,9.6,4.7
5AM26_417751423-L_C,1031561007,3,9.6,4.7
AKZ56_417795043-L_B,1031746118,2,19.3,9.3
114971_417697070-L_A,1031429590,1,19.3,9.3
114971_417697070-L_B,1031429590,2,19.3,9.3
114971_417697070-L_C,1031429590,3,19.3,9.3
AKZ79_417698082-L_B,1031471025,2,9.6,4.7
AKZ83_417698790-L_A,1031510332,1,9.6,4.7
AKZ83_417698790-L_B,1031510332,2,9.6,4.7
AKZ83_417698790-L_C,1031510332,3,9.6,4.7
AKZ85_417794886-L_A,1031727841,1,5.2,7.7
AKZ85_417794886-L_C,1031727841,3,9.2,-0.7
AKZ88_417751279-L_A,1031525649,1,23.2,34.1
AKZ88_417751279-L_C,1031525649,3,41.2,-3
AKZ91_417795336-L_B,1031748169,2,28.9,5.9
BBC17Q_417751095-L_A,1031524361,1,5.8,2.8
BBC17Q_417751095-L_B,1031524361,2,5.8,2.8
BBC17Q_417751095-L_C,1031524361,3,5.8,2.8
HC175_417754452-L_A,1031680975,1,9.2,-0.7
HC175_417754452-L_B,1031680975,2,5.2,7.7
ALN01_417796467-L_A,1031799023,1,6.2,-0.4
ALN01_417796467-L_B,1031799023,2,3.5,5.1
AFL67Q_417754339-L_A,1031654415,1,1.7,1.5
AFL67Q_417754339-L_C,1031654415,3,2.2,-0.7
AFL76Q_417830959-L_C,1032053349,3,28.9,5.9
AFL72Q_417696690-L_A,1031323873,1,28.9,5.9
BBC20Q_417754613-L_B,1031682102,2,28.9,5.9
AFL82Q_417698628-L_B,1031509200,2,3.7,-0.3
AFL82Q_417698628-L_C,1031509200,3,2.1,3.1
BBC22Q_417793485-L_A,1031249094,1,5.2,7.7
BBC22Q_417793485-L_C,1031249094,3,9.2,-0.7
ALU27_417698033-L_A,1031249106,1,9.6,4.7
1ATX13_417794793-L_A,1031727187,1,9.6,4.7
1ATX13_417794793-L_B,1031727187,2,9.6,4.7
1ATX13_417794793-L_C,1031727187,3,9.6,4.7
1B1E09_417828991-L_A,1031923636,1,14.4,7
1B1E09_417828991-L_B,1031923636,2,14.4,7
1B1E09_417828991-L_C,1031923636,3,14.4,7
ALU40_417696993-L_B,1031429050,2,19.3,3.9
BBB53Q_417697191-L_B,1031430438,2,18.5,-1.4
BBB53Q_417697191-L_C,1031430438,3,10.4,15.3
BBW46_417794420-L_C,1031724576,3,9.6,4.7
ALU41_417794096-L_B,1031709431,2,14.4,7
ALU42_417793641-L_C,1031684773,3,9.6,2
ALU44_417794025-L_C,1031708929,3,9.6,4.7
B9E24_417831430-L_A,1031249712,1,19.3,9.3
B9E24_417831430-L_B,1031249712,2,19.3,9.3
B9E24_417831430-L_C,1031249712,3,19.3,9.3
ALU29_417794630-L_A,1031726048,1,14.4,7
ALU47Q_417751703-L_A,1031562970,1,10.4,15.3
ALU47Q_417751703-L_C,1031562970,3,18.5,-1.3
ALU49Q_417752854-L_C,1031601082,3,9.6,4.7
5GN17_417753368-L_C,1031630444,3,9.6,2
ALU57_417751745-L_B,1031563262,2,14.4,2.9
ALU66Q_417751189-L_C,1031525015,3,9.6,4.7
ALU70_417750397-L_C,1031510887,3,19.3,3.9
ALU81_417753130-L_C,1031603012,3,14.4,2.9
B9T17_417830114-L_C,1032004497,3,9.6,2
ALU84_417828951-L_C,1031923353,3,19.3,9.3
ALU87_417751019-L_C,1031523825,3,9.6,2
ALU92_417697442-L_C,1031457956,3,5.8,1.2
ALU94_417795461-L_C,1031749043,3,9.6,2
BCL58Q_417794664-L_C,1031726287,3,19.3,3.9
ALU85_417751905-L_C,1031564383,3,19.3,3.9
ALU77_417794519-L_C,1031725269,3,9.6,2
ALU78Q_417796618-L_C,1031800083,3,14.4,2.9
ALU62_417795021-L_A,1031745961,1,14.4,2.9
ALU60_417796846-L_C,1031836031,3,9.6,4.7
ALU97_417793907-L_A,1031708105,1,14.4,2.9
ALV03_417795812-L_C,1031781557,3,14.4,7
ALV06_417752989-L_C,1031602028,3,14.4,2.9
ALV04_417751512-L_C,1031561632,3,9.6,2
ALV10_417751596-L_C,1031562220,3,14.4,2.9
AFM30Q_417751977-L_C,1031573475,3,5.8,1.2
AFM29Q_417696803-L_C,1031427719,3,9.6,2
ALV15Q_417795839-L_C,1031781743,3,14.4,2.9
AFM14Q_417794510-L_C,1031725209,3,5.8,1.2
AFM15Q_417753361-L_C,1031630393,3,19.3,3.9
AFM18Q_417696988-L_C,1031429015,3,19.3,9.3
12GL20_417890904-L_C,1031249700,3,38.5,18.7
ALV16Q_417794523-L_C,1031725299,3,14.4,7
ALV18_417698224-L_C,1031472016,3,9.6,4.7
ALV19_417696739-L_C,1031322166,3,5.8,1.2
ALV20Q_417753334-L_C,1031630209,3,19.3,3.9
ALV21Q_417698526-L_C,1031474135,3,9.6,4.7
AFM10Q_417752738-L_C,1031600273,3,9.6,2
ALV26_417753934-L_C,1031651580,3,9.6,2
ALV30_417753958-L_C,1031651753,3,19.3,3.9
ANK71_417698108-L_C,1031471206,3,9.6,4.7
ANK72_417698488-L_C,1031473868,3,9.6,2
ANK75Q_417753153-L_C,1031603177,3,14.4,2.9
8C583_417794274-L_C,1031710675,3,9.6,2
ANK80Q_417697928-L_C,1031461356,3,19.3,3.9
ANK85_417696706-L_C,1031323985,3,14.4,2.9
ANK89_417794750-L_C,1031726891,3,14.4,2.9
ANK96Q_417698220-L_C,1031471993,3,9.6,2
ANK74_417750808-L_C,1031522348,3,9.6,2
ALV32_417751690-L_C,1031562874,3,9.6,2
ALV38_417752541-L_C,1031577419,3,9.6,2
ALU98_417698793-L_A,1031510356,1,9.6,2
7ND17_417750677-L_B,1031512843,2,9.6,2
ALV46_417754383-L_B,1031654723,2,9.6,2
ALV56Q_417698617-L_B,1031509119,2,19.3,3.9
ALV57_417698040-L_B,1031470728,2,14.4,2.9
ALV64_417750927-L_B,1031523186,2,9.6,2
ALV65_417752511-L_B,1031577212,2,14.4,2.9
ALV48_417750911-L_A,1031523072,1,14.4,2.9
ALV70_417752834-L_A,1031600942,1,14.4,2.9
ALV73_417796723-L_C,1031800816,3,14.4,2.9
ALV84_417698025-L_A,1031470627,1,14.4,2.9
ALV94_417794917-L_A,1031745235,1,9.6,2
ALV97Q_417750699-L_A,1031513002,1,3.5,5.1
ALV97Q_417750699-L_C,1031513002,3,6.2,-0.4
ALV99_417696639-L_A,1031323518,1,3.5,5.1
ALV99_417696639-L_C,1031323518,3,6.2,-0.4
ALW01_417751289-L_C,1031525720,3,9.6,2
ALW05_417793986-L_C,1031708661,3,19.3,3.9
BBK73_417796400-L_A,1031798552,1,14.4,2.9
18LW29_417889017-L_A,1032180644,1,38.5,7.8
ALV91_417697392-L_A,1031457604,1,9.6,2
ALW11Q_417795659-L_A,1031780487,1,9.6,2
ALW13_417698310-L_A,1031472618,1,9.6,2
ALW15_417750459-L_A,1031511322,1,9.6,4.7
ALW08_417794435-L_A,1031724684,1,9.6,2
ALW21Q_417754000-L_A,1031652045,1,9.6,2
BBK52_417750462-L_B,1031511343,2,9.6,2
ALW29Q_417698293-L_A,1031472503,1,19.3,3.9
ALW32Q_417795776-L_B,1031781302,2,5.8,1.2
ALW35Q_417697407-L_A,1031457712,1,5.8,1.2
ALW37Q_417751754-L_B,1031563325,2,14.4,2.9
ALW38Q_417793787-L_B,1031707268,2,14.4,2.9
ALW39_417750440-L_B,1031511189,2,14.4,2.9
ALW43_417751206-L_B,1031525134,2,9.6,4.7
ALW44_417750601-L_A,1031512315,1,3.7,-0.3
ALW44_417750601-L_B,1031512315,2,2.1,3.1
ALW47_417794442-L_B,1031724733,2,5.8,2.8
ALW48_417753191-L_A,1031629208,1,3.9,0.8
ALW52Q_417796556-L_A,1031799647,1,19.3,3.9
ALW49Q_417753190-L_A,1031603436,1,9.6,2
RN441_417831633-L_A,1032075244,1,19.3,3.9
B9D85_417889642-L_B,1032227963,2,38.5,7.8
B9D83_417829761-L_B,1031967669,2,28.9,5.9
ALW82_417697702-L_A,1031459779,1,9.6,2
ALW87_417794275-L_B,1031710681,2,19.3,3.9
ALW85_417796838-L_B,1031835972,2,3.9,0.8
ALW90_417753871-L_B,1031651141,2,19.3,3.9
ALW89_417697329-L_B,1031431399,2,9.6,4.7
ALW94_417698843-L_A,1031510701,1,16.1,-5.4
ALW94_417698843-L_B,1031510701,2,12.8,11.3
ALW96_417750844-L_A,1031322463,1,14.4,2.9
BDJ74_417888314-L_A,1032145670,1,38.5,7.8
ANH04_417794673-L_A,1031726352,1,2.5,-0.2
ANH04_417794673-L_B,1031726352,2,1.4,2
BA774_417889067-L_A,1032180998,1,19.3,3.9
ANH15_417753314-L_A,1031630069,1,12.3,-0.9
ANH15_417753314-L_B,1031630069,2,7,10.2
8K206_417697291-L_A,1031431138,1,6.2,-0.5
8K206_417697291-L_B,1031431138,2,3.5,5.1
ANH19_417753467-L_A,1031631139,1,19.3,9.3
ANH20_417751769-L_B,1031563429,2,19.3,3.9
ANH26_417751379-L_A,1031560702,1,9.2,-0.7
ANH26_417751379-L_B,1031560702,2,5.2,7.7
ANH29_417753029-L_A,1031602305,1,38.5,7.8
ANH28_417794821-L_A,1031727386,1,9.2,-0.7
ANH28_417794821-L_B,1031727386,2,5.2,7.7
ANH31_417752470-L_A,1031576926,1,21.5,-7.2
ANH31_417752470-L_B,1031576926,2,17,15
ANH30_417796011-L_B,1031782947,2,28.9,5.9
ANH32_417794765-L_B,1031726996,2,19.3,9.3
ANH35_417794054-L_A,1031709136,1,19.3,9.3
1GCY79_457959832-L_A,1171215953,1,9.6,4.7
ANH37_417750825-L_A,1031522469,1,12.3,-0.9
ANH37_417750825-L_B,1031522469,2,7,10.2
BBJ13_417750784-L_A,1031522180,1,6.2,-0.5
BBJ13_417750784-L_B,1031522180,2,3.5,5.1
BCH01Q_417829450-L_A,1031965494,1,38.5,18.7
ALW59_417751994-L_B,1031573594,2,19.3,9.3
ALW65_417750644-L_B,1031512614,2,14.4,2.9
185B57_417890421-L_B,1032272061,2,19.3,3.9
185B59_417830207-L_B,1031249715,2,38.5,7.8
ALW72Q_417794390-L_B,1031724368,2,14.4,2.9
BB908Q_417888364-L_B,1032146015,2,19.3,3.9
ALW76Q_417750979-L_B,1031523550,2,14.4,2.9
185B60_417891003-L_B,1032310488,2,28.9,5.9
ALW68_417752232-L_B,1031575259,2,14.4,2.9
ALW78_417751834-L_B,1031563884,2,19.3,3.9
ALW55_417696666-L_B,1031323704,2,9.6,2
ALW56_417750720-L_A,1031513147,1,8.1,-2.7
ALW56_417750720-L_B,1031513147,2,6.4,5.6
ANH45_417696731-L_B,1031324160,2,9.6,4.7
13EK09_417830163-L_A,1032004840,1,19.3,9.3
13EK09_417830163-L_B,1032004840,2,19.3,9.3
13EK09_417830163-L_C,1032004840,3,19.3,9.3
ANH42Q_417696833-L_B,1031427930,2,38.5,7.8
ANH49_417697394-L_A,1031457620,1,19.3,3.9
BB439Q_417750558-L_A,1031512012,1,38.5,7.8
ANH55_417752462-L_A,1031576871,1,9.6,4.7
ANH58_417795176-L_A,1031747049,1,9.6,2
ANH65Q_417796861-L_A,1031836131,1,9.6,4.7
ANH68_417796283-L_A,1031797733,1,38.5,7.8
ANH71_417753996-L_A,1031652017,1,19.3,3.9
ANH73_417751029-L_A,1031523899,1,9.6,2
ANH78Q_417753300-L_A,1031249097,1,28.9,5.9
ANH62Q_417752733-L_A,1031249100,1,64.3,31.2
ANH83Q_417696752-L_A,1031324307,1,5.2,7.6
ANH83Q_417696752-L_C,1031324307,3,9.2,-0.6
ANH87_417698541-L_B,1031474237,2,6.2,-0.5
ANH87_417698541-L_C,1031474237,3,3.5,5.1
ANH90Q_417795091-L_B,1031746451,2,21.5,-7.3
ANH90Q_417795091-L_C,1031746451,3,17,15.1
14WN12_417753914-L_B,1031651442,2,9.6,4.7
ANH94_417751942-L_B,1031564642,2,9.3,-0.7
ANH94_417751942-L_C,1031564642,3,5.2,7.7
ANH93_417697488-L_B,1031458281,2,12.3,-0.9
ANH93_417697488-L_C,1031458281,3,6.9,10.3
ANH95_417753697-L_B,1031632745,2,9.6,2
1BNR55_417829061-L_A,1031924128,1,9.6,4.7
1BNR55_417829061-L_B,1031924128,2,9.6,4.7
1BNR55_417829061-L_C,1031924128,3,9.6,4.7
ANK02Q_417697492-L_B,1031322181,2,28.9,14
ANH98_417754104-L_B,1031652773,2,64.3,13.1
ANK40_417698093-L_A,1031471104,1,19.2,9.3
ANK40_417698093-L_B,1031471104,2,19.3,9.3
ANK40_417698093-L_C,1031471104,3,19.3,9.4
ANK42Q_417697560-L_B,1031458780,2,3.9,1.9
RV53Q_417752465-L_A,1031576887,1,5.8,2.8
RV53Q_417752465-L_B,1031576887,2,5.8,2.8
RV53Q_417752465-L_C,1031576887,3,5.8,2.8
7G277_417889021-L_A,1032180677,1,9.6,4.7
7G277_417889021-L_B,1032180677,2,9.6,4.7
7G277_417889021-L_C,1032180677,3,9.6,4.7
7G278_417888857-L_A,1032179524,1,64.2,31.1
7G278_417888857-L_B,1032179524,2,64.2,31.1
7G278_417888857-L_C,1032179524,3,64.2,31.1
ANL12Q_417796481-L_A,1031799123,1,38.5,18.6
ANL12Q_417796481-L_B,1031799123,2,38.6,18.6
ANL12Q_417796481-L_C,1031799123,3,38.5,18.8
ANL11Q_417753450-L_A,1031631021,1,9.6,4.6
ANL11Q_417753450-L_B,1031631021,2,9.6,4.7
ANL11Q_417753450-L_C,1031631021,3,9.6,4.7
ANL15_417751045-L_B,1031524007,2,9.6,4.7
ANL16_417697344-L_A,1031431507,1,9.6,4.7
ANL19Q_417794148-L_A,1031709795,1,14.4,7
ANL19Q_417794148-L_B,1031709795,2,14.5,7
ANL19Q_417794148-L_C,1031709795,3,14.4,7
B9D81_417830284-L_A,1032005684,1,19.3,9.3
B9D81_417830284-L_B,1032005684,2,19.3,9.3
B9D81_417830284-L_C,1032005684,3,19.3,9.3
B9D82_417829773-L_A,1031967753,1,19.3,9.3
B9D82_417829773-L_B,1031967753,2,19.3,9.3
B9D82_417829773-L_C,1031967753,3,19.3,9.3
ANL10_417698520-L_A,1031474091,1,14.4,7
ANL10_417698520-L_B,1031474091,2,14.4,7
ANL10_417698520-L_C,1031474091,3,14.4,7
181E72_417696732-L_A,1031324166,1,9.6,4.7
181E72_417696732-L_B,1031324166,2,9.6,4.7
181E72_417696732-L_C,1031324166,3,9.6,4.7
ANL06_417698230-L_B,1031472058,2,3.7,-0.3
ANL06_417698230-L_C,1031472058,3,2.1,3.1
ANL22Q_417796497-L_A,1031799235,1,5.8,2.8
ANL22Q_417796497-L_B,1031799235,2,5.8,2.8
ANL22Q_417796497-L_C,1031799235,3,5.8,2.8
17TH54_417795780-L_A,1031781333,1,9.6,4.7
17TH54_417795780-L_B,1031781333,2,9.6,4.7
17TH54_417795780-L_C,1031781333,3,9.6,4.7
