Load_name,Bus_name,Phase,P,Q
AGN04_417696873-L_A,1031428209,1,15,7.3
AGN04_417696873-L_B,1031428209,2,15,7.2
AGN04_417696873-L_C,1031428209,3,15,7.3
HBA66_417889923-L_A,1032229928,1,60,29.1
HBA66_417889923-L_B,1032229928,2,60,29.1
HBA66_417889923-L_C,1032229928,3,60,29.1
13GP84_417751997-L_C,1031573616,3,15,7.3
AGM08_417753597-L_A,1031632050,1,15,7.3
AGM07_417795824-L_A,1031781643,1,28.8,-2
AGM07_417795824-L_B,1031781643,2,16.2,23.8
HA022_417751688-L_A,1031562860,1,45,21.8
HA022_417751688-L_B,1031562860,2,45,21.8
HA022_417751688-L_C,1031562860,3,45,21.8
HCK85_417888030-L_A,1032117914,1,30,14.5
HCK85_417888030-L_B,1032117914,2,30,14.5
HCK85_417888030-L_C,1032117914,3,30,14.5
AGM03_417750539-L_C,1031249028,3,30,14.5
HA115_417888156-L_A,1032144562,1,60,29.1
HA115_417888156-L_B,1032144562,2,60,29.1
HA115_417888156-L_C,1032144562,3,60,29.1
AGL61_417831562-L_A,1032074744,1,30,14.5
AGL61_417831562-L_B,1032074744,2,30,14.5
AGL61_417831562-L_C,1032074744,3,30,14.5
54V84_417890876-L_A,1032309600,1,30,14.5
54V84_417890876-L_B,1032309600,2,30,14.5
54V84_417890876-L_C,1032309600,3,30,14.5
HCP92_417890997-L_A,1032310446,1,60,29.1
HCP92_417890997-L_B,1032310446,2,60,29.1
HCP92_417890997-L_C,1032310446,3,60,29.1
AGM00_417829889-L_A,1032002919,1,30,14.5
AGM00_417829889-L_B,1032002919,2,30,14.5
AGM00_417829889-L_C,1032002919,3,30,14.5
AGL91_417793515-L_A,1031683889,1,3.2,4.8
AGL91_417793515-L_C,1031683889,3,5.8,-0.4
0DA69_417750955-L_A,1031523377,1,60,29.1
0DA69_417750955-L_B,1031523377,2,60,28.9
0DA69_417750955-L_C,1031523377,3,60.1,29.1
AGL89_417696825-L_A,1031427871,1,15,7.3
AGL89_417696825-L_B,1031427871,2,15,7.3
AGL89_417696825-L_C,1031427871,3,15,7.3
AGL49_417753877-L_C,1031651185,3,45,21.8
